age,geo,TIME_PERIOD,OBS_VALUE
10-14,DE,2012,20419
10-14,DE,2013,25770
10-14,DE,2014,37939
10-14,DE,2015,86383
10-14,DE,2016,52758
10-14,DE,2017,41934
10-14,DE,2018,38426
10-14,DE,2019,37974
10-14,DE,2020,30146
10-14,DE,2021,38505
15-19,DE,2012,36680
15-19,DE,2013,46035
15-19,DE,2014,65349
15-19,DE,2015,176888
15-19,DE,2016,93839
15-19,DE,2017,66168
15-19,DE,2018,61517
15-19,DE,2019,58901
15-19,DE,2020,46352
15-19,DE,2021,61171
20-24,DE,2012,100262
20-24,DE,2013,116917
20-24,DE,2014,144242
20-24,DE,2015,262565
20-24,DE,2016,159866
20-24,DE,2017,141552
20-24,DE,2018,137619
20-24,DE,2019,133880
20-24,DE,2020,105025
20-24,DE,2021,140206
25-29,DE,2012,98417
25-29,DE,2013,114645
25-29,DE,2014,143767
25-29,DE,2015,246097
25-29,DE,2016,159535
25-29,DE,2017,145307
25-29,DE,2018,141955
25-29,DE,2019,140461
25-29,DE,2020,113602
25-29,DE,2021,145794
30-34,DE,2012,78683
30-34,DE,2013,89685
30-34,DE,2014,111500
30-34,DE,2015,178397
30-34,DE,2016,122626
30-34,DE,2017,115532
30-34,DE,2018,117258
30-34,DE,2019,117747
30-34,DE,2020,97114
30-34,DE,2021,113572
35-39,DE,2012,59950
35-39,DE,2013,68854
35-39,DE,2014,84349
35-39,DE,2015,129669
35-39,DE,2016,91499
35-39,DE,2017,87437
35-39,DE,2018,88147
35-39,DE,2019,88862
35-39,DE,2020,73460
35-39,DE,2021,83256
40-44,DE,2012,46516
40-44,DE,2013,51878
40-44,DE,2014,64663
40-44,DE,2015,93042
40-44,DE,2016,68837
40-44,DE,2017,67223
40-44,DE,2018,68184
40-44,DE,2019,68221
40-44,DE,2020,57738
40-44,DE,2021,61662
45-49,DE,2012,34368
45-49,DE,2013,39638
45-49,DE,2014,49125
45-49,DE,2015,68613
45-49,DE,2016,53559
45-49,DE,2017,53359
45-49,DE,2018,52717
45-49,DE,2019,52435
45-49,DE,2020,44754
45-49,DE,2021,46126
5-9,DE,2012,26198
5-9,DE,2013,33810
5-9,DE,2014,49608
5-9,DE,2015,109334
5-9,DE,2016,68794
5-9,DE,2017,54113
5-9,DE,2018,47220
5-9,DE,2019,45807
5-9,DE,2020,36047
5-9,DE,2021,46268
50-54,DE,2012,24023
50-54,DE,2013,27254
50-54,DE,2014,32589
50-54,DE,2015,43924
50-54,DE,2016,35503
50-54,DE,2017,36407
50-54,DE,2018,38423
50-54,DE,2019,38896
50-54,DE,2020,34929
50-54,DE,2021,34965
55-59,DE,2012,14841
55-59,DE,2013,16829
55-59,DE,2014,20322
55-59,DE,2015,26958
55-59,DE,2016,22374
55-59,DE,2017,22567
55-59,DE,2018,23951
55-59,DE,2019,24750
55-59,DE,2020,22375
55-59,DE,2021,22886
60-64,DE,2012,8036
60-64,DE,2013,8898
60-64,DE,2014,11172
60-64,DE,2015,14635
60-64,DE,2016,12324
60-64,DE,2017,12441
60-64,DE,2018,13034
60-64,DE,2019,13914
60-64,DE,2020,13182
60-64,DE,2021,13960
65-69,DE,2012,4571
65-69,DE,2013,5144
65-69,DE,2014,6247
65-69,DE,2015,7959
65-69,DE,2016,6874
65-69,DE,2017,6955
65-69,DE,2018,7175
65-69,DE,2019,7726
65-69,DE,2020,7262
65-69,DE,2021,8093
70-74,DE,2012,3137
70-74,DE,2013,3090
70-74,DE,2014,3699
70-74,DE,2015,4140
70-74,DE,2016,3613
70-74,DE,2017,3650
70-74,DE,2018,3630
70-74,DE,2019,3907
70-74,DE,2020,3892
70-74,DE,2021,4489
75-79,DE,2012,1610
75-79,DE,2013,1836
75-79,DE,2014,2471
75-79,DE,2015,2704
75-79,DE,2016,2362
75-79,DE,2017,2507
75-79,DE,2018,2395
75-79,DE,2019,2521
75-79,DE,2020,2208
75-79,DE,2021,2616
80-84,DE,2012,873
80-84,DE,2013,957
80-84,DE,2014,1229
80-84,DE,2015,1327
80-84,DE,2016,1249
80-84,DE,2017,1281
80-84,DE,2018,1433
80-84,DE,2019,1547
80-84,DE,2020,1539
80-84,DE,2021,1774
85-89,DE,2012,405
85-89,DE,2013,464
85-89,DE,2014,582
85-89,DE,2015,622
85-89,DE,2016,596
85-89,DE,2017,562
85-89,DE,2018,575
85-89,DE,2019,698
85-89,DE,2020,707
85-89,DE,2021,817
90-94,DE,2012,129
90-94,DE,2013,136
90-94,DE,2014,161
90-94,DE,2015,198
90-94,DE,2016,205
90-94,DE,2017,221
90-94,DE,2018,205
90-94,DE,2019,256
90-94,DE,2020,213
90-94,DE,2021,254
95-99,DE,2012,16
95-99,DE,2013,18
95-99,DE,2014,61
95-99,DE,2015,56
95-99,DE,2016,43
95-99,DE,2017,45
95-99,DE,2018,46
95-99,DE,2019,72
95-99,DE,2020,69
95-99,DE,2021,90
0-4,DE,2012,33041
0-4,DE,2013,40855
0-4,DE,2014,55818
0-4,DE,2015,117536
0-4,DE,2016,73396
0-4,DE,2017,57848
0-4,DE,2018,49976
0-4,DE,2019,47766
0-4,DE,2020,37992
0-4,DE,2021,47863
