geo,TIME_PERIOD,OBS_VALUE
AT,2012,91557
AT,2013,101866
AT,2014,116262
AT,2015,166323
AT,2016,129509
AT,2017,111801
AT,2018,105633
AT,2019,109167
AT,2020,103565
AT,2021,118511
BE,2012,129477
BE,2013,120078
BE,2014,123158
BE,2015,146626
BE,2016,123702
BE,2017,126703
BE,2018,137860
BE,2019,150006
BE,2020,118683
BE,2021,139743
BG,2012,14103
BG,2013,18570
BG,2014,26615
BG,2015,25223
BG,2016,21241
BG,2017,25597
BG,2018,29559
BG,2019,37929
BG,2020,37364
BG,2021,39461
CH,2012,149051
CH,2013,160157
CH,2014,156282
CH,2015,153627
CH,2016,149305
CH,2017,143377
CH,2018,144857
CH,2019,145129
CH,2020,138778
CH,2021,144907
CY,2012,17476
CY,2013,13149
CY,2014,9212
CY,2015,15183
CY,2016,17391
CY,2017,21306
CY,2018,23442
CY,2019,26170
CY,2020,25861
CY,2021,24001
CZ,2012,34337
CZ,2013,30124
CZ,2014,29897
CZ,2015,29602
CZ,2016,64083
CZ,2017,51847
CZ,2018,65910
CZ,2019,105888
CZ,2020,63095
CZ,2021,69360
DE,2012,592175
DE,2013,692713
DE,2014,884893
DE,2015,1571047
DE,2016,1029852
DE,2017,917109
DE,2018,893886
DE,2019,886341
DE,2020,728606
DE,2021,874367
DK,2012,54409
DK,2013,60312
DK,2014,68388
DK,2015,78492
DK,2016,74383
DK,2017,68579
DK,2018,64669
DK,2019,61384
DK,2020,57230
DK,2021,63489
EE,2012,2639
EE,2013,4109
EE,2014,3904
EE,2015,15413
EE,2016,14822
EE,2017,17616
EE,2018,17547
EE,2019,18259
EE,2020,16209
EE,2021,19524
EL,2012,58200
EL,2013,57946
EL,2014,59013
EL,2015,64446
EL,2016,116867
EL,2017,112247
EL,2018,119489
EL,2019,129459
EL,2020,84221
EL,2021,57120
ES,2012,304053
ES,2013,280772
ES,2014,305454
ES,2015,342114
ES,2016,414746
ES,2017,532132
ES,2018,643684
ES,2019,750480
ES,2020,467918
ES,2021,528856
FI,2012,31278
FI,2013,31941
FI,2014,31507
FI,2015,28746
FI,2016,34905
FI,2017,31797
FI,2018,31106
FI,2019,32758
FI,2020,32898
FI,2021,36364
FR,2012,327431
FR,2013,338752
FR,2014,340383
FR,2015,364221
FR,2016,377709
FR,2017,369621
FR,2018,387158
FR,2019,385591
FR,2020,283237
FR,2021,336398
HR,2012,8959
HR,2013,10378
HR,2014,10638
HR,2015,11706
HR,2016,13985
HR,2017,15553
HR,2018,26029
HR,2019,37726
HR,2020,33414
HR,2021,35912
HU,2012,33702
HU,2013,38968
HU,2014,54581
HU,2015,58344
HU,2016,53618
HU,2017,68070
HU,2018,82937
HU,2019,88581
HU,2020,75470
HU,2021,80471
IE,2012,61324
IE,2013,65539
IE,2014,73519
IE,2015,80792
IE,2016,85185
IE,2017,78499
IE,2018,97712
IE,2019,85630
IE,2020,74211
IE,2021,80732
IS,2012,4960
IS,2013,6406
IS,2014,5368
IS,2015,5635
IS,2016,8710
IS,2017,12116
IS,2018,11830
IS,2019,9872
IS,2020,8544
IS,2021,8996
IT,2012,350772
IT,2013,307454
IT,2014,277631
IT,2015,280078
IT,2016,300823
IT,2017,343440
IT,2018,332324
IT,2019,332778
IT,2020,247526
IT,2021,318366
LI,2012,671
LI,2013,696
LI,2014,615
LI,2015,657
LI,2016,607
LI,2017,645
LI,2018,649
LI,2019,727
LI,2020,713
LI,2021,669
LT,2012,19843
LT,2013,22011
LT,2014,24294
LT,2015,22130
LT,2016,20162
LT,2017,20368
LT,2018,28914
LT,2019,40067
LT,2020,43096
LT,2021,44858
LU,2012,20478
LU,2013,21098
LU,2014,22332
LU,2015,23803
LU,2016,22888
LU,2017,24379
LU,2018,24644
LU,2019,26668
LU,2020,22490
LU,2021,25335
LV,2012,13303
LV,2013,8299
LV,2014,10365
LV,2015,9479
LV,2016,8345
LV,2017,9916
LV,2018,10909
LV,2019,11223
LV,2020,8840
LV,2021,12689
ME,2012,5727
ME,2013,5112
ME,2014,5353
ME,2015,4553
ME,2016,4904
ME,2017,6684
ME,2018,8643
ME,2019,10737
ME,2020,6008
MK,2012,1715
MK,2013,2050
MK,2014,1935
MK,2015,1741
MK,2016,2262
MK,2017,2064
MK,2018,2053
MK,2019,2118
MK,2020,2555
MK,2021,1570
MT,2012,8256
MT,2013,10897
MT,2014,14454
MT,2015,16936
MT,2016,17051
MT,2017,21676
MT,2018,26444
MT,2019,28341
MT,2020,13885
MT,2021,18148
NL,2012,124566
NL,2013,129428
NL,2014,145323
NL,2015,166872
NL,2016,189232
NL,2017,189646
NL,2018,194306
NL,2019,215756
NL,2020,182244
NL,2021,214105
NO,2012,69908
NO,2013,68313
NO,2014,66903
NO,2015,60816
NO,2016,61460
NO,2017,53351
NO,2018,47864
NO,2019,48680
NO,2020,36287
NO,2021,53947
PL,2012,217546
PL,2013,220311
PL,2014,222275
PL,2015,218147
PL,2016,208302
PL,2017,209353
PL,2018,214083
PL,2019,226649
PL,2020,210615
PL,2021,241116
PT,2012,14606
PT,2013,17554
PT,2014,19516
PT,2015,29896
PT,2016,29925
PT,2017,36639
PT,2018,43170
PT,2019,72725
PT,2020,67160
PT,2021,50721
RO,2012,167266
RO,2013,153646
RO,2014,136035
RO,2015,132795
RO,2016,137455
RO,2017,177435
RO,2018,172578
RO,2019,202422
RO,2020,145519
RO,2021,194642
SE,2012,103059
SE,2013,115845
SE,2014,126966
SE,2015,134240
SE,2016,163005
SE,2017,144489
SE,2018,132602
SE,2019,115805
SE,2020,82518
SE,2021,90631
SI,2012,15022
SI,2013,13871
SI,2014,13846
SI,2015,15420
SI,2016,16623
SI,2017,18808
SI,2018,28455
SI,2019,31319
SI,2020,36110
SI,2021,23624
SK,2012,5419
SK,2013,5149
SK,2014,5357
SK,2015,6997
SK,2016,7686
SK,2017,7188
SK,2018,7253
SK,2019,7016
SK,2020,6775
SK,2021,5733
UK,2012,498040
UK,2013,526046
UK,2014,631991
UK,2015,631452
UK,2016,588993
UK,2017,644209
UK,2018,603953
UK,2019,680906
