Time,CNMR_DE,CNMR_US,CNMR_UK,CNMR_SPAIN
2000,0.747,5.252,2.743,4.309
2001,0.595,4.69,3.165,4.54
2002,0.565,4.061,3.553,18.035
2003,0.669,3.698,3.869,15.818
2004,0.9,4.092,4.132,15.508
2005,1.265,3.812,4.337,14.595
2006,1.789,3.72,4.494,14.938
2007,2.229,3.668,4.577,17.265
2008,2.61,3.591,4.606,9.414
2009,2.97,3.347,4.586,2.821
2010,3.289,3.318,4.497,1.349
2011,3.606,4.222,4.395,1.224
2012,3.896,4.188,4.281,-3.089
2013,4.203,4.144,4.178,-5.443
2014,4.518,3.892,4.044,-2.04
2015,4.86,3.771,3.905,-0.019
2016,5.26,4.44,3.768,1.918
2017,5.228,4.187,3.625,3.602
2018,4.747,3.622,3.477,7.274
2019,4.346,3.472,3.318,9.786
2020,4.017,2.013,3.153,4.418
2021,3.757,1.668,3.007,5.808
2022,1.856,2.956,2.459,0.841
2023,1.872,2.945,2.451,0.842
2024,1.865,2.927,2.442,0.843
2025,1.875,2.914,2.435,0.844
2026,1.875,2.899,2.427,0.845
2027,1.85,2.883,2.42,0.846
2028,1.879,2.875,2.413,0.847
2029,1.87,2.936,2.406,0.849
2030,1.874,2.951,2.4,0.85
